# select substr(TS_DAY,1,4) || '-' || substr(TS_DAY,5,2) || '-' || substr(TS_DAY,7,2) as T, 
# UPASS_2010, UPASS_2011, UPASS_2012, UPASS_2013,
# MONTHLYPASS_2010, MONTHLYPASS_2011, MONTHLYPASS_2012, MONTHLYPASS_2013,
# DISCOUNTPASS_2010, DISCOUNTPASS_2011, DISCOUNTPASS_2012, DISCOUNTPASS_2013
# from V_YEARSPREAD

########################################################################################
2013-08-10,4126,4258,4786,,14118,13605,13744,,5618,5714,5545,
2013-08-11,4173,4189,2805,,14186,14048,8404,,5715,5954,4122,
2013-08-12,4171,4363,2207,,14256,14023,7218,,5813,6075,3331,
2013-08-13,3875,2394,4169,,13803,8857,12873,,5792,4511,4996,
2013-08-14,2248,1779,4505,,8800,6997,13453,,4294,3415,5258,
2013-08-15,1803,3668,4643,,7307,13574,13655,,3275,5607,5241,
2013-08-16,3586,4008,4570,,12949,13698,13273,,5256,5573,5087,
2013-08-17,3779,3870,4658,,13647,13722,13177,,5475,5737,5131,
2013-08-18,3637,3685,2696,,13488,13666,8359,,5402,5553,3802,
2013-08-19,3680,4114,2037,,13263,13657,6814,,5183,5950,3037,
2013-08-20,3592,2160,3806,,13132,8633,12590,,5339,4342,4765,
2013-08-21,1941,1709,3482,,8777,6902,13052,,3911,3456,4793,
2013-08-22,1469,3007,3530,,6696,12467,12901,,3031,4803,4898,
2013-08-23,2824,3036,3401,,12376,13663,12856,,4964,5498,4784,
2013-08-24,3045,3778,3447,,13199,13643,12738,,5125,5480,5016,
2013-08-25,3739,3925,2373,,13013,13727,7676,,5040,5379,3441,
2013-08-26,4101,3748,1746,,13371,12996,6223,,5143,5407,2783,
2013-08-27,4188,2587,4103,,12763,8161,12018,,5096,4060,4281,
2013-08-28,2776,1979,4458,,7741,6433,12107,,3741,3373,4301,
2013-08-29,2271,4411,5214,,6143,12473,12401,,2958,5177,4550,
2013-08-30,4777,4915,5722,,12389,12671,12273,,4791,5147,4595,
2013-08-31,5143,5389,6507,,12048,12843,11663,,4555,5173,4574,
2013-09-01,4745,4436,3893,,10073,10204,5716,,3888,4420,3212,
2013-09-02,5783,5806,3913,,11130,11156,5084,,4909,5721,2954,
2013-09-03,6490,4944,5497,,11491,7114,5305,,5525,4377,3434,
2013-09-04,5173,5493,10864,,7169,5779,11922,,4062,3900,7282,
2013-09-05,5116,6896,16822,,5597,5791,12528,,3541,3921,7168,
2013-09-06,5887,11941,18907,,5256,13191,13278,,3151,8394,8047,
2013-09-07,12374,18323,20805,,12883,13693,13085,,7516,8557,8691,
2013-09-08,18529,19557,11276,,13420,13803,7617,,7912,8549,5054,
2013-09-09,20323,21481,7622,,13674,13787,6098,,8159,9611,3709,
2013-09-10,21376,11631,18774,,13591,8171,13110,,8949,5461,8068,
2013-09-11,11365,7899,19534,,7904,6454,13884,,5214,4110,8423,
2013-09-12,7101,19516,19718,,5736,14001,13748,,3403,8842,8489,
2013-09-13,19272,19766,19710,,13449,14222,13893,,8184,8997,8285,
2013-09-14,19617,19564,21707,,14164,14159,13869,,8527,8812,9232,
2013-09-15,19261,19976,11494,,14137,14714,7925,,8445,9150,5474,
2013-09-16,19406,21555,8017,,14083,14406,6324,,8464,10119,4135,
2013-09-17,21433,10845,18305,,13964,8425,12720,,9133,5831,6590,
2013-09-18,10037,7527,19475,,8004,6497,13658,,5012,4381,7876,
2013-09-19,7581,19129,19266,,6430,13541,13376,,4046,7199,7972,
2013-09-20,18288,19063,19326,,13171,14310,13429,,6433,8919,8171,
2013-09-21,19391,19430,20392,,13802,14328,13377,,8303,8811,8916,
2013-09-22,18596,19475,11110,,13916,14020,7770,,8173,8533,5409,
2013-09-23,18975,20638,7708,,13639,14114,6105,,8012,9918,3761,
2013-09-24,20799,11707,18012,,13777,7866,12371,,8858,5485,7532,
2013-09-25,11023,7528,18854,,8198,6175,12993,,5522,3932,7546,
2013-09-26,7482,17967,18543,,6211,12736,13158,,3674,7505,7871,
2013-09-27,18061,19156,19019,,13117,13938,12825,,7568,8868,7616,
2013-09-28,18656,19012,20780,,13866,14154,12685,,8159,9065,8080,
2013-09-29,18411,18601,10374,,13990,14001,7327,,8143,8717,5035,
2013-09-30,18498,20425,7692,,14072,14239,5657,,8132,9559,3783,
2013-10-01,20591,10213,17771,,11792,6274,10641,,6642,4193,5336,
2013-10-02,10526,7245,18484,,7739,5685,12804,,4812,3480,6605,
2013-10-03,6988,17857,18190,,5945,13086,13115,,3489,7175,7227,
2013-10-04,17190,18304,18072,,13370,13959,13277,,7265,7741,7101,
2013-10-05,18428,18159,18747,,14319,14890,13369,,7729,8157,7820,
2013-10-06,18031,18548,7070,,14601,14828,7607,,8084,8193,4616,
